Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0.0,1.0,0.7957244655581949,0.9772167487684729,0.8641542506573181,0.9445324881141045,0.27031802120141346,0.8675496688741722
0.0064516129032258064,0.9656224572823433,0.8212589073634204,0.9685960591133004,0.8729184925503943,0.9381933438985737,0.44522968197879864,0.9050772626931567
0.012903225806451613,0.9562652563059398,0.8836104513064134,0.9741379310344828,0.9009640666082384,0.9556259904912836,0.47879858657243823,0.7527593818984548
0.01935483870967742,0.944060211554109,0.8194774346793349,1.0,0.8992112182296231,0.9366085578446909,0.6254416961130742,0.26048565121412803
0.025806451612903226,0.9428397070789258,0.828978622327791,0.937192118226601,0.8755477651183172,0.8827258320126784,0.568904593639576,0.6578366445916114
0.03225806451612903,0.9412123677786819,0.8622327790973872,0.939655172413793,0.9219982471516214,0.9064976228209191,0.4646643109540637,0.7571743929359824
0.03870967741935484,0.9133441822620016,0.8236342042755345,0.9156403940886699,0.8843120070113935,0.9096671949286845,0.47173144876325096,0.8233995584988962
0.04516129032258064,0.9060211554109032,0.7737529691211401,0.9587438423645319,0.8992112182296231,0.9270998415213946,0.5830388692579506,0.8388520971302428
0.05161290322580645,0.900122050447518,0.8105700712589073,0.9267241379310344,0.9106047326906221,0.9255150554675118,0.5035335689045937,0.6799116997792494
0.05806451612903226,0.893612693246542,0.8171021377672208,0.9082512315270936,0.8904469763365469,0.8431061806656102,0.43109540636042404,0.4988962472406181
0.06451612903225806,0.8899511798209926,0.8147268408551069,0.9532019704433498,0.9079754601226994,0.8827258320126784,0.5865724381625442,0.640176600441501
0.07096774193548387,0.8775427176566314,0.6140142517814727,0.8873152709359605,0.8439964943032428,0.8843106180665611,0.2544169611307421,0.2052980132450331
0.07741935483870968,0.8718470301057769,0.7577197149643706,0.895935960591133,0.9018404907975459,0.5879556259904912,0.46113074204947,0.18101545253863136
0.08387096774193549,0.8618795768917819,0.9554631828978623,0.9107142857142857,0.8869412795793163,0.8335974643423139,0.3427561837455831,0.6975717439293598
0.09032258064516129,0.8545565500406835,0.7915676959619953,0.9470443349753694,0.8729184925503943,0.7131537242472267,0.6148409893992933,0.6136865342163356
0.0967741935483871,0.8478437754271764,0.890142517814727,0.9562807881773397,0.8755477651183172,0.8177496038034865,0.5265017667844524,0.684326710816777
0.1032258064516129,0.840520748576078,0.8153206650831354,0.8953201970443349,0.8650306748466258,0.7844690966719493,0.46113074204947,0.5849889624724062
0.10967741935483871,0.8279088689991864,0.805225653206651,0.9261083743842364,0.8641542506573181,0.7496038034865292,0.2826855123674912,0.46357615894039733
0.11612903225806452,0.8216029292107403,0.8509501187648457,0.8971674876847291,0.7659947414548641,0.7194928684627575,0.4946996466431096,0.282560706401766
0.12258064516129032,0.8134662327095199,0.753562945368171,0.9156403940886699,0.8063102541630149,0.7242472266244058,0.08127208480565372,0.07947019867549668
0.12903225806451613,0.807973962571196,0.8925178147268408,0.8066502463054187,0.7230499561787905,0.94770206022187,0.46289752650176685,0.40176600441501104
